id,project_id,workflow_id,trigger,status,runtime_summary,input_payload_json,output_text,error_text,started_at,finished_at,created_at,updated_at,paused_at,retry_after_at,pause_reason,resume_policy,recovery_count,current_step_index
c2fff4f3-1532-4dd7-bdb7-b8082ef1f40c,288bc95a-b4da-46e7-bdfa-b5630233f586,8bfc1859-0fb4-4478-ba1f-5a114be09d87,schedule,completed,{},"{""timeframe"": ""4h"", ""project_mode"": ""paper"", ""workflow_name"": ""Crypto Position Monitor — Active Positions""}","{
  ""agent"": ""crypto_position_monitor"",
  ""monitored_at"": ""2026-06-14T04:12:28.590890+00:00"",
  ""sources_used"": [],
  ""positions"": [],
  ""total_unrealized_pnl"": 0.0,
  ""active_position_count"": 0,
  ""critical_alerts"": []
}","",2026-06-14 04:12:27.774621+00,2026-06-14 04:13:00.790478+00,2026-06-14 04:12:25.72816+00,2026-06-14 04:12:27.798025+00,,,"",auto,0,1
4270a5cb-83f5-470e-9ace-9d2872eb22b1,288bc95a-b4da-46e7-bdfa-b5630233f586,c662bc4b-17f2-482f-b445-69927c3b9718,screener,blocked,{},"{""symbol"": ""SOLUSDT"", ""timeframe"": ""4h"", ""project_mode"": ""paper""}","HAWK vote gate blocked: no 2/3 directional majority across HAWK agents
dq_flags: hawk_structure=['not_real_market_data(PARTIAL)']","HAWK vote gate blocked: no 2/3 directional majority across HAWK agents
dq_flags: hawk_structure=['not_real_market_data(PARTIAL)']",2026-06-14 13:01:25.021906+00,2026-06-14 13:03:03.682577+00,2026-06-14 13:00:27.531534+00,2026-06-14 13:01:25.037185+00,,,hawk_vote_no_majority,auto,0,5
86db1e40-8078-4939-9c19-801f64a6a22e,288bc95a-b4da-46e7-bdfa-b5630233f586,ffb54a32-103c-429c-ab07-4c7263372e9b,schedule,completed,{},"{""timeframe"": ""4h"", ""project_mode"": ""paper"", ""workflow_name"": ""Crypto Trade Screener — Secondary 15m""}","Screener: 3 candidates, dispatched 0 (none); skipped 3; 1/3 positions open.","",2026-06-14 14:00:02.732258+00,2026-06-14 14:00:03.117343+00,2026-06-14 14:00:02.247466+00,2026-06-14 14:00:02.750252+00,,,"",auto,0,1
66a30860-bc09-4d26-b437-e6e5cec7458b,288bc95a-b4da-46e7-bdfa-b5630233f586,ffb54a32-103c-429c-ab07-4c7263372e9b,schedule,completed,{},"{""timeframe"": ""4h"", ""project_mode"": ""paper"", ""workflow_name"": ""Crypto Trade Screener — Secondary 15m""}","Screener: 3 candidates, dispatched 3 (BTCUSDT, ETHUSDT, SOLUSDT); skipped 0; 0/3 positions open.","",2026-06-14 04:15:29.373716+00,2026-06-14 04:15:30.971709+00,2026-06-14 04:15:27.201702+00,2026-06-14 04:15:29.396964+00,,,"",auto,0,1
32a5d36a-724c-409c-ab56-ecb32dbb8639,288bc95a-b4da-46e7-bdfa-b5630233f586,8bfc1859-0fb4-4478-ba1f-5a114be09d87,schedule,completed,{},"{""timeframe"": ""4h"", ""project_mode"": ""paper"", ""workflow_name"": ""Crypto Position Monitor — Active Positions""}","{
  ""agent"": ""crypto_position_monitor"",
  ""monitored_at"": ""2026-06-14T13:20:53.559139+00:00"",
  ""sources_used"": [""system-injected position data""],
  ""positions"": [
    {
      ""position_id"": ""pos_1"",
      ""symbol"": ""BTCUSDT"",
      ""side"": ""LONG"",
      ""entry_price"": 28000.0,
      ""current_price"": 29000.0,
      ""stop_loss"": 27000.0,
      ""take_profit_levels"": [30000.0],
      ""position_size_usdt"": 10000.0,
      ""unrealized_pnl"": 1000.0,
      ""unrealized_pnl_pct"": 3.57,
      ""distance_to_sl_pct"": -3.45,
      ""distance_to_tp1_pct"": 6.67,
      ""duration_minutes"": 480,
      ""alert_type"": ""NO_ALERT"",
      ""alert_message"": null,
      ""recommended_action"": ""HOLD"",
      ""action_rationale"": null
    },
    {
      ""position_id"": ""pos_2"",
      ""symbol"": ""ETHUSDT"",
      ""side"": ""SHORT"",
      ""entry_price"": 1800.0,
      ""current_price"": 1700.0,
      ""stop_loss"": 1900.0,
      ""take_profit_levels"": [1600.0],
      ""position_size_usdt"": 5000.0,
      ""unrealized_pnl"": -500.0,
      ""unrealized_pnl_pct"": -5.56,
      ""distance_to_sl_pct"": 11.76,
      ""distance_to_tp1_pct"": -5.56,
      ""duration_minutes"": 720,
      ""alert_type"": ""NO_ALERT"",
      ""alert_message"": null,
      ""recommended_action"": ""HOLD"",
      ""action_rationale"": null
    },
    {
      ""position_id"": ""pos_3"",
      ""symbol"": ""SOLUSDT"",
      ""side"": ""LONG"",
      ""entry_price"": 40.0,
      ""current_price"": 35.0,
      ""stop_loss"": 30.0,
      ""take_profit_levels"": [50.0],
      ""position_size_usdt"": 2000.0,
      ""unrealized_pnl"": -500.0,
      ""unrealized_pnl_pct"": -12.5,
      ""distance_to_sl_pct"": 14.29,
      ""distance_to_tp1_pct"": -21.43,
      ""duration_minutes"": 1080,
      ""alert_type"": ""SL_BREACH"",
      ""alert_message"": ""Stop loss may be triggered"",
      ""recommended_action"": ""CLOSE_PARTIAL"",
      ""action_rationale"": ""Position is at risk of stop loss being triggered""
    }
  ],
  ""total_unrealized_pnl"": 500.0,
  ""active_position_count"": 3,
  ""critical_alerts"": [""SL_BREACH""]
}","",2026-06-14 13:20:53.519057+00,2026-06-14 13:20:58.869403+00,2026-06-14 13:20:53.028781+00,2026-06-14 13:20:53.54005+00,,,"",auto,0,1
6b54306f-6f95-4816-990a-04727b4926ba,288bc95a-b4da-46e7-bdfa-b5630233f586,8bfc1859-0fb4-4478-ba1f-5a114be09d87,schedule,completed,{},"{""timeframe"": ""4h"", ""project_mode"": ""paper"", ""workflow_name"": ""Crypto Position Monitor — Active Positions""}","{
  ""agent"": ""crypto_position_monitor"",
  ""monitored_at"": ""2026-06-14T13:35:57.455925+00:00"",
  ""sources_used"": [""system-injected position data""],
  ""positions"": [
    {
      ""position_id"": ""pos-123"",
      ""symbol"": ""BTCUSDT"",
      ""side"": ""LONG"",
      ""entry_price"": 28000.0,
      ""current_price"": 29000.0,
      ""stop_loss"": 27000.0,
      ""take_profit_levels"": [30000.0],
      ""position_size_usdt"": 10000.0,
      ""unrealized_pnl"": 1000.0,
      ""unrealized_pnl_pct"": 3.57,
      ""distance_to_sl_pct"": -5.0,
      ""distance_to_tp1_pct"": 6.67,
      ""duration_minutes"": 120,
      ""alert_type"": ""NO_ALERT"",
      ""alert_message"": null,
      ""recommended_action"": ""HOLD"",
      ""action_rationale"": null
    },
    {
      ""position_id"": ""pos-456"",
      ""symbol"": ""ETHUSDT"",
      ""side"": ""SHORT"",
      ""entry_price"": 1800.0,
      ""current_price"": 1700.0,
      ""stop_loss"": 1900.0,
      ""take_profit_levels"": [1600.0],
      ""position_size_usdt"": 5000.0,
      ""unrealized_pnl"": -500.0,
      ""unrealized_pnl_pct"": -2.78,
      ""distance_to_sl_pct"": 11.76,
      ""distance_to_tp1_pct"": -5.56,
      ""duration_minutes"": 180,
      ""alert_type"": ""NO_ALERT"",
      ""alert_message"": null,
      ""recommended_action"": ""HOLD"",
      ""action_rationale"": null
    }
  ],
  ""total_unrealized_pnl"": 500.0,
  ""active_position_count"": 2,
  ""critical_alerts"": []
}","",2026-06-14 13:35:57.423577+00,2026-06-14 13:36:03.637763+00,2026-06-14 13:35:56.789803+00,2026-06-14 13:35:57.444486+00,,,"",auto,0,1
7f57e89d-1901-4774-b489-6e9f37176c4d,288bc95a-b4da-46e7-bdfa-b5630233f586,8bfc1859-0fb4-4478-ba1f-5a114be09d87,schedule,completed,{},"{""timeframe"": ""4h"", ""project_mode"": ""paper"", ""workflow_name"": ""Crypto Position Monitor — Active Positions""}","{
  ""agent"": ""crypto_position_monitor"",
  ""monitored_at"": ""2026-06-14T04:15:27.260852+00:00"",
  ""sources_used"": [""system-injected position data""],
  ""positions"": [
    {
      ""position_id"": ""pos_123"",
      ""symbol"": ""BTCUSDT"",
      ""side"": ""LONG"",
      ""entry_price"": 30000.0,
      ""current_price"": 32000.0,
      ""stop_loss"": 29500.0,
      ""take_profit_levels"": [32500.0],
      ""position_size_usdt"": 10000.0,
      ""unrealized_pnl"": 2000.0,
      ""unrealized_pnl_pct"": 6.67,
      ""distance_to_sl_pct"": -1.58,
      ""distance_to_tp1_pct"": 1.56,
      ""duration_minutes"": 120,
      ""alert_type"": ""NO_ALERT"",
      ""alert_message"": null,
      ""recommended_action"": ""HOLD"",
      ""action_rationale"": null
    },
    {
      ""position_id"": ""pos_456"",
      ""symbol"": ""ETHUSDT"",
      ""side"": ""SHORT"",
      ""entry_price"": 1500.0,
      ""current_price"": 1450.0,
      ""stop_loss"": 1520.0,
      ""take_profit_levels"": [1400.0],
      ""position_size_usdt"": 5000.0,
      ""unrealized_pnl"": -500.0,
      ""unrealized_pnl_pct"": -3.33,
      ""distance_to_sl_pct"": 4.79,
      ""distance_to_tp1_pct"": -4.29,
      ""duration_minutes"": 180,
      ""alert_type"": ""NO_ALERT"",
      ""alert_message"": null,
      ""recommended_action"": ""HOLD"",
      ""action_rationale"": null
    }
  ],
  ""total_unrealized_pnl"": 1500.0,
  ""active_position_count"": 2,
  ""critical_alerts"": []
}","",2026-06-14 04:15:27.216865+00,2026-06-14 04:15:33.458298+00,2026-06-14 04:15:26.599752+00,2026-06-14 04:15:27.23953+00,,,"",auto,0,1
c7454160-0458-4e86-a087-e10586aad761,288bc95a-b4da-46e7-bdfa-b5630233f586,ffb54a32-103c-429c-ab07-4c7263372e9b,schedule,completed,{},"{""timeframe"": ""4h"", ""project_mode"": ""paper"", ""workflow_name"": ""Crypto Trade Screener — Secondary 15m""}","Screener: 3 candidates, dispatched 0 (none); skipped 3; 0/3 positions open.","",2026-06-14 13:32:16.389696+00,2026-06-14 13:32:16.743314+00,2026-06-14 13:30:55.495576+00,2026-06-14 13:32:16.403187+00,,,"",auto,0,1
e348e2c5-29ce-4337-ba22-d87252f22a0e,288bc95a-b4da-46e7-bdfa-b5630233f586,ffb54a32-103c-429c-ab07-4c7263372e9b,schedule,completed,{},"{""timeframe"": ""4h"", ""project_mode"": ""paper"", ""workflow_name"": ""Crypto Trade Screener — Secondary 15m""}","Screener: 3 candidates, dispatched 0 (none); skipped 3; 1/3 positions open.","",2026-06-14 15:45:30.859621+00,2026-06-14 15:45:31.220454+00,2026-06-14 15:45:30.314054+00,2026-06-14 15:45:30.878721+00,,,"",auto,0,1
a6cb2392-3597-4036-8401-7236cfba913f,288bc95a-b4da-46e7-bdfa-b5630233f586,6ff54511-16e6-4e52-964d-60ceda2530c7,screener,blocked,{},"{""symbol"": ""ETHUSDT"", ""timeframe"": ""4h"", ""project_mode"": ""paper""}",HAWK vote gate blocked: no 2/3 directional majority across HAWK agents,HAWK vote gate blocked: no 2/3 directional majority across HAWK agents,2026-06-14 04:15:32.380025+00,2026-06-14 04:17:10.782359+00,2026-06-14 04:15:29.396964+00,2026-06-14 04:15:32.40016+00,,,hawk_vote_no_majority,auto,0,5
